,article_source,article_post_date_type,article_title,article_url,article_claim
75,Facebook posts,"stated on March 28, 2020 in a Facebook post:","Says for otherwise healthy people “experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis … only high temperatures kill a virus, so let your fever run high,” but not over 103 or 104 degrees.",/factchecks/2020/apr/03/facebook-posts/letting-fever-run-fight-coronavirus-could-be-risky/,barely-true
76,Facebook posts,"stated on March 28, 2020 in a Facebook post:",Pictures and reports of “empty hospitals” prove COVID-19 spread is “fake crisis for real government planned agendas.”,/factchecks/2020/apr/03/facebook-posts/hospital-beds-being-kept-empty-prepare-covid-influ/,false
77,Joe Biden,"stated on March 27, 2020 in a virtual town hall on CNN:","“There was no effort” to get American experts into China after it announced the coronavirus, and “we had one person in-country (and Trump) pulled him out of the country.”",/factchecks/2020/apr/03/joe-biden/whats-true-whats-not-bidens-attacks-trump-and-gett/,barely-true
78,Facebook posts,"stated on March 30, 2020 in a Facebook post:",Says Nancy Pelosi’s “daughter is on the board of the Kennedy Center so that’s why it was so important to send them all that money.”,/factchecks/2020/apr/03/facebook-posts/nancy-pelosis-daughter-isnt-kennedy-center-board/,false
79,Facebook posts,"stated on March 22, 2020 in a Facebook post:","“In Chicago, Covid-19 actually LOWERED the death rate.”",/factchecks/2020/apr/03/facebook-posts/no-coronavirus-did-not-cause-death-rate-drop-chica/,false
80,Facebook posts,"stated on March 23, 2020 in a Facebook post:","“This lady here applied sanitizer to her hands/forearms & went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.”",/factchecks/2020/apr/03/facebook-posts/dont-let-facebook-post-scare-you-hand-sanitizer-fl/,false
81,Jesse Watters,"stated on March 31, 2020 in comments made during an episode of ""The Five"" on the Fox News Channel:","“We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.”",/factchecks/2020/apr/03/jesse-watters/are-covid-19-travel-restrictions-more-critical-sav/,false
82,Facebook posts,"stated on March 16, 2020 in a Facebook post:",Says the U.S. is developing an “antivirus” that includes a chip to track your movement.,/factchecks/2020/apr/03/facebook-posts/no-us-isnt-developing-vaccine-or-antivirus-chip-tr/,pants-fire
83,Dan Patrick,"stated on March 31, 2020 in a briefing:","Says for the coronavirus, “the death rate in Texas, per capita of 29 million people, we're one of the lowest in the country.""",/factchecks/2020/apr/03/dan-patrick/now-texas-among-states-lowest-coronavirus-death-ra/,mostly-true
84,Facebook posts,"stated on March 29, 2020 in an image:","Says the governors of Michigan, New York and Nevada “have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.”",/factchecks/2020/apr/02/facebook-posts/chloroquine-not-banned-michigan-new-york-and-nevad/,false
85,Bloggers,"stated on March 31, 2020 in a blog post:","Says Italy arrested a doctor “for intentionally killing over 3,000 coronavirus patients.”",/factchecks/2020/apr/02/blog-posting/no-italy-didnt-arrest-doctor-murdering-thousands-c/,pants-fire
86,Facebook posts,"stated on March 31, 2020 in a Facebook post:","“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",/factchecks/2020/apr/02/facebook-posts/yes-us-shipped-donated-personal-protective-equipme/,true
